"# Number of items/rows (or columns)","No of products per row"
"Categories ID: ","Category ID"
"""Title: ","Title"
"Mode: ","Mode"
"Display products in Random","Display products in random"
"# Qty of products","No of products"
"# Qty of products per page (pagination) ","No of products per page"
"# Qty of products on tablet","No of products"
"# Number of items/rows (or columns) on tablet portrait","No of products per row"
"# Qty of products per page (pagination) Tablet ","No of products per page"
"# Number of items/rows (or columns) Tablet","No of products per row on tablet landscape"
"# Number of items/rows (or columns) on tablet portrait","No of products per row on tablet portrait"
"# Qty of products on mobile ","No of products"
"# Qty of products per page (pagination) Mobile ","No of products per page"
"# Number of items/rows (or columns) mobile landscape","No of products per row on mobile landscape"
"# Number of items/rows (or columns) on mobile portrait","No of products per row on mobile portrait "
"Description Max Length.", "Description Max Length accept number only."
